kelurahan,unit_id,kecamatan,score,intersection_density,avg_block_length,sidewalk_pct,amenity_pct,n_int,n_block,n_sidewalk,n_amenity
Ciroyom,122,Andir,95.83230251178833,295.5892909368772,55.57946014591359,15.080722603822183,100.0,100.0,98.40586852973897,75.40361301911092,100.0
Dunguscariang,123,Andir,85.10694538524454,207.31723002933487,49.30467035233301,0.14259384699271865,100.0,100.0,100.0,0.7129692349635933,100.0
Garuda,124,Andir,84.96015835653424,219.62790910184233,50.46481917376713,0.0,100.0,100.0,99.86719452178082,0.0,100.0
Maleber,125,Andir,85.0,283.65690709205757,42.74481993913862,0.0,100.0,100.0,100.0,0.0,100.0
Campaka,126,Andir,85.37492564920571,152.2823670226568,49.387217676640574,0.49990086560761865,89.47368421052632,100.0,100.0,2.499504328038093,100.0
Cibaduyut Kidul,127,Bojongloa Kidul,90.30695529854458,321.483379600204,43.45710102564572,7.07594039805943,100.0,100.0,100.0,35.37970199029715,100.0
Cibaduyut Wetan,128,Bojongloa Kidul,85.0,82.44480421405335,46.13486133170372,0.0,89.41176470588236,100.0,100.0,0.0,100.0
Mekarwangi,129,Bojongloa Kidul,84.16668566995264,159.26388449936474,59.72200051721914,0.0,87.45980707395499,100.0,97.22228556650882,0.0,100.0
Cibaduyut,130,Bojongloa Kidul,90.01813741959704,372.55814729470524,40.324750946471156,6.690849892796057,100.0,100.0,100.0,33.45424946398028,100.0
Kebonlega,131,Bojongloa Kidul,91.11926981872546,298.5854710857928,47.30984795717324,8.159026424967267,100.0,100.0,100.0,40.795132124836336,100.0
Situ Saeur,132,Bojongloa Kidul,97.2408306497747,439.25104250976796,46.78918580326753,16.321107533032922,100.0,100.0,100.0,81.6055376651646,100.0
Babakan Asih,133,Bojongloa Kaler,90.63586045028453,256.91263192570887,53.61858219548526,7.9280328512919604,100.0,100.0,98.9661193727185,39.640164256459805,100.0
Jamika,134,Bojongloa Kaler,99.65371278804811,302.70526101742354,54.04001747277202,20.106155475425787,100.0,100.0,98.84570929349371,100.0,100.0
Babakan Tarogong,135,Bojongloa Kaler,85.70631793451905,254.0370269341316,58.9824405043633,1.9683218750954972,100.0,100.0,97.43358842732476,9.841609375477486,100.0
Sukaasih,136,Bojongloa Kaler,91.91080592381661,260.5702640244233,51.04563465946958,9.333909002361517,100.0,100.0,99.70124724015155,46.66954501180759,100.0
Kopo,137,Bojongloa Kaler,88.21944481746263,239.54464542094533,59.35003835068969,5.361168901457571,100.0,100.0,97.32856047123151,26.80584450728786,100.0
Margasuka,138,Babakan Ciparay,84.88648291368565,126.8758743045246,51.324366007000705,0.0,65.7258064516129,100.0,99.6216097122855,0.0,100.0
Margahayu Utara,139,Babakan Ciparay,84.62936181126238,178.9724735366083,54.324112201938846,0.0,86.68280871670703,100.0,98.76453937087462,0.0,100.0
Babakan Ciparay,140,Babakan Ciparay,84.6797033590191,190.74683415560145,58.81704301261102,0.5805998706095895,98.07692307692307,100.0,97.48084485353971,2.9029993530479477,100.0
Sukahaji,141,Babakan Ciparay,83.79586844040334,139.2397982326907,71.28581744563063,0.8271561048003353,100.0,100.0,93.91833787267696,4.135780524001677,100.0
Babakan,142,Babakan Ciparay,84.197719663571,203.04220731374173,60.09425632701553,0.08392217927739146,100.0,100.0,97.11592676370985,0.4196108963869573,100.0
Cibuntu,143,Bandung Kulon,85.71088765745074,344.77214380013083,40.276589500473484,0.9478502099343302,100.0,100.0,100.0,4.739251049671651,100.0
Warungmuncang,144,Bandung Kulon,85.27429141822675,232.56585859739508,46.196104530004504,0.3657218909690123,100.0,100.0,100.0,1.8286094548450613,100.0
Cijerah,145,Bandung Kulon,85.0,193.03600550046423,48.443227118994976,0.0,95.2054794520548,100.0,100.0,0.0,100.0
Caringin,146,Bandung Kulon,84.77076817365634,146.44947497105392,60.61896724279886,0.9079538211949953,98.19277108433735,100.0,96.96600935920033,4.539769105974976,100.0
Cigondewah Rahayu,147,Bandung Kulon,83.88884215128658,106.0490770072722,62.96350823498986,0.0,76.41509433962264,100.0,96.2961405042886,0.0,100.0
Cigondewah Kidul,148,Bandung Kulon,82.90841033350607,164.24365635086468,74.4018794424292,0.0,100.0,100.0,93.02803444502023,0.0,100.0
Cigondewah Kaler,149,Bandung Kulon,76.11006129077447,65.22346351185922,73.70925626078629,0.7074020000734801,75.81699346405229,81.52932938982403,93.22592678263248,3.5370100003674008,100.0
Gempolsari,150,Bandung Kulon,85.0,283.6536577875231,49.91321928488762,0.0,86.13636363636363,100.0,100.0,0.0,100.0
Kelurahan Sukamaju,152,Cibeunying Kidul,84.68770551486595,197.976100340223,53.64343565989716,0.0,100.0,100.0,98.95901838288653,0.0,100.0
Kel. Babakan Surabaya,153,Kiaracondong,86.12210424807074,224.56097032424552,58.81061414278257,2.5030663280313896,100.0,100.0,97.48268167349069,12.51533164015695,100.0
Kel. Cicaheum,154,Kiaracondong,84.4810488222168,190.34480117823503,58.24891142639844,0.2507978307346085,100.0,100.0,97.64316816388616,1.2539891536730425,100.0
Pasanggrahan,155,Ujungberung,86.5905081530103,182.61365159761874,50.521602481872314,2.180289249561061,91.93899782135077,100.0,99.85097071946505,10.901446247805305,100.0

